"dessert", "Chocolate Mousse", "A rich and creamy chocolate mousse made with dark chocolate and whipped cream"
"dessert", "Strawberry Shortcake", "A classic dessert with layers of fluffy vanilla cake, fresh strawberries, and whipped cream"
"dessert", "Peach Cobbler", "A warm and gooey cobbler with ripe peaches and a crispy biscuit topping"
"dessert", "Caramel Apple Pie", "A flaky pie crust filled with sliced apples and a gooey caramel sauce"
"dessert", "Cheesecake", "A rich and creamy cheesecake with a graham cracker crust"
"dessert", "Red Velvet Cake", "A moist and fluffy red velvet cake with a cream cheese frosting"
"dessert", "Chocolate Chip Cookies", "Soft and chewy chocolate chip cookies made with semi-sweet chocolate chips"
"dessert", "Peanut Butter Cookies", "Soft and chewy peanut butter cookies made with creamy peanut butter"
"dessert", "Lemon Bars", "A refreshing dessert with a buttery crust and a tangy lemon filling"
"dessert", "Brownies", "Fudgy and rich chocolate brownies with a crackly top"
